City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
alofi,51,NU,1642701502,83,-19.0595,-169.9187,78.69,13.8
yanam,9,IN,1642701798,93,16.7333,82.2167,67.78,2.44
yulara,84,AU,1642701484,78,-25.2406,130.9889,73.24,12.66
diu,0,IN,1642701616,86,20.7141,70.9822,70.03,12.15
marsa matruh,40,EG,1642701432,62,31.3525,27.2453,55.6,4.61
kodiak,0,US,1642701413,80,57.79,-152.4072,24.31,3.44
guasca,96,CO,1642701799,68,4.866,-73.8775,60.62,4.83
severo-kurilsk,100,RU,1642701425,84,50.6789,156.125,28.76,25.05
flinders,100,AU,1642701785,86,-34.5833,150.8552,64.8,1.99
ekhabi,100,RU,1642701800,92,53.5102,142.9671,-1.37,16.73
tezu,100,IN,1642701800,50,27.9167,96.1667,60.33,1.32
trogir,75,HR,1642701800,81,43.5125,16.2517,50.05,5.75
caravelas,0,BR,1642701800,59,-17.7125,-39.2481,83.97,8.61
upernavik,100,GL,1642701462,90,72.7868,-56.1549,11.55,24.81
avarua,75,CK,1642701392,89,-21.2078,-159.775,80.65,10.36
lagoa,80,PT,1642701414,85,39.05,-27.9833,61.68,19.51
madhubani,26,IN,1642701801,62,26.3667,86.0833,56.88,2.51
san patricio,100,US,1642701454,47,28.017,-97.5169,44.69,20.6
bethel,100,US,1642701402,77,41.3712,-73.414,33.94,1.01
damaturu,49,NG,1642701802,25,11.747,11.9608,66.16,10.51
havre-saint-pierre,40,CA,1642701583,72,50.2334,-63.5986,14.59,8.05
gat,47,IL,1642701802,100,31.61,34.7642,49.41,3.58
kenai,100,US,1642701802,95,60.5544,-151.2583,24.15,4.61
naze,78,JP,1642701515,64,28.3667,129.4833,53.02,11.45
dikson,100,RU,1642701388,93,73.5069,80.5464,3.72,17.29
simao,84,CN,1642701420,98,22.7886,100.9748,50.85,2.48
kankon,83,IN,1642701803,73,15.0167,74.0167,73.02,7.4
georgetown,20,MY,1642701368,90,5.4112,100.3354,81.9,1.99
fort morgan,100,US,1642701803,100,40.2503,-103.8,21.94,9.22
kautokeino,35,NO,1642701804,76,69.0125,23.0412,23.23,22.7
saldanha,0,ZA,1642701408,83,-33.0117,17.9442,75.25,20.42
kununurra,75,AU,1642701531,89,-15.7667,128.7333,80.58,4.61
tecolutla,66,MX,1642701804,77,20.4833,-97.0167,78.66,13.94
san quintin,0,MX,1642701804,59,30.4833,-115.95,64.11,3.58
ilulissat,100,GL,1642701498,93,69.2167,-51.1,18.73,8.14
setermoen,100,NO,1642701805,97,68.861,18.3486,32.43,7.78
norman wells,100,CA,1642701393,70,65.282,-126.8329,-12.96,14.97
taoudenni,0,ML,1642701805,14,22.6783,-3.9836,70.61,8.68
aklavik,75,CA,1642701357,70,68.2191,-135.0107,-14.8,9.22
labuhan,100,ID,1642701444,88,-6.8844,112.2051,75.02,6.62
guerrero negro,1,MX,1642701806,47,27.9769,-114.0611,67.21,5.08
springville,52,US,1642701718,84,40.1652,-111.6107,38.88,1.01
cavalcante,1,BR,1642701806,45,-13.7975,-47.4583,83.43,6.73
coos bay,64,US,1642701448,100,43.3665,-124.2179,54.32,4.32
matay,0,EG,1642701807,44,28.419,30.7792,50.14,7.87
prince rupert,100,CA,1642701539,92,54.3161,-130.3201,44.29,6.91
ayan,32,RU,1642701807,79,56.45,138.1667,-4.43,7.31
makakilo city,27,US,1642701524,82,21.3469,-158.0858,72.61,1.88
kailua,0,US,1642701807,85,21.4022,-157.7394,75.18,0.0
new norfolk,18,AU,1642701388,74,-42.7826,147.0587,55.71,2.73
castro,15,BR,1642701387,54,-24.7911,-50.0119,81.77,3.29
pisco,0,PE,1642701480,65,-13.7,-76.2167,77.05,11.5
pilar,27,BR,1642701808,49,-9.5972,-35.9567,87.73,12.75
punta arenas,0,CL,1642701260,45,-53.15,-70.9167,69.82,6.91
aquiraz,64,BR,1642701808,69,-3.9014,-38.3911,86.09,8.79
lovington,94,US,1642701809,56,32.944,-103.3485,24.64,3.0
mattru,85,SL,1642701809,36,7.6244,-11.8332,88.21,5.1
peoria,47,US,1642701672,69,40.7667,-89.7668,14.61,10.02
senanga,93,ZM,1642701809,88,-16.1167,23.2667,68.85,4.97
hobyo,24,SO,1642701401,74,5.3505,48.5268,78.28,15.95
uray,99,RU,1642701810,93,60.1247,64.7758,19.09,9.42
clyde river,100,CA,1642701436,85,70.4692,-68.5914,-0.17,5.75
hithadhoo,79,MV,1642701434,72,-0.6,73.0833,82.38,6.51
pevek,34,RU,1642701421,97,69.7008,170.3133,-36.81,1.1
poptun,59,GT,1642701810,75,16.3311,-89.4169,75.67,4.05
kaitangata,100,NZ,1642701404,81,-46.2817,169.8464,57.92,11.86
barrow,87,US,1642701489,100,71.2906,-156.7887,-26.03,4.43
kankipadu,9,IN,1642701811,93,16.45,80.7833,66.88,3.91
kurilsk,100,RU,1642701811,92,45.2333,147.8833,29.77,16.53
neyshabur,0,IR,1642701811,27,36.2133,58.7958,39.88,1.77
kutum,6,SD,1642701454,17,14.2,24.6667,58.32,9.71
saint-philippe,74,RE,1642701393,84,-21.3585,55.7679,80.15,5.77
acarau,94,BR,1642701685,63,-2.8856,-40.12,85.42,15.46
mayo,100,US,1642701812,87,38.8876,-76.5119,38.37,5.99
khatanga,100,RU,1642701283,95,71.9667,102.5,-12.6,6.08
sao filipe,88,CV,1642701496,77,14.8961,-24.4956,73.58,9.66
touros,10,BR,1642701129,60,-5.1989,-35.4608,90.5,15.08
narsaq,100,GL,1642701421,95,60.9167,-46.05,27.72,14.14
wanning,78,CN,1642701523,76,18.8003,110.3967,69.37,4.41
port-gentil,100,GA,1642701813,77,-0.7193,8.7815,79.57,6.04
oussouye,18,SN,1642701813,48,12.485,-16.5469,82.42,10.98
srandakan,100,ID,1642701813,89,-7.9386,110.2506,75.0,3.11
mwene-ditu,85,CD,1642701814,94,-7.0,23.45,66.83,3.44
praia da vitoria,20,PT,1642701391,94,38.7333,-27.0667,64.76,18.39
mitzic,98,GA,1642701814,72,0.7821,11.549,76.06,2.89
hasaki,0,JP,1642701457,46,35.7333,140.8333,32.4,21.34
yar-sale,98,RU,1642701442,88,66.8333,70.8333,14.47,20.92
priargunsk,100,RU,1642701814,98,50.3691,119.1012,-7.78,2.04
hofn,75,IS,1642701490,81,64.2539,-15.2082,42.82,5.75
zhelyabovka,95,UA,1642701815,70,45.3988,34.7578,35.33,10.18
tiksi,100,RU,1642701424,85,71.6872,128.8694,-6.48,14.29
kavaratti,76,IN,1642701499,71,10.5669,72.642,80.69,11.52
tula,100,RU,1642701815,92,54.2044,37.6111,20.48,15.61
antalaha,100,MG,1642701466,93,-14.9003,50.2788,75.38,4.34
vila franca do campo,19,PT,1642701816,85,37.7167,-25.4333,67.19,17.78
bengkulu,100,ID,1642701816,88,-3.8004,102.2655,75.47,4.81
urumqi,75,CN,1642701816,93,43.801,87.6005,16.75,2.24
sorland,100,NO,1642701817,68,67.667,12.6934,30.27,28.77
miraflores,45,MX,1642701817,33,19.2167,-98.8083,66.96,2.53
arlit,0,NE,1642701817,18,18.7369,7.3853,64.94,7.65
alice springs,100,AU,1642701309,65,-23.7,133.8833,81.21,1.01
jacqueville,52,CI,1642701818,66,5.2052,-4.4146,84.11,9.95
pavlohrad,73,UA,1642701818,77,48.5167,35.8667,26.98,14.97
pangkalanbuun,100,ID,1642701818,99,-2.6833,111.6167,73.09,2.95
radhanpur,0,IN,1642701819,64,23.8333,71.6,69.84,4.36
thompson,75,CA,1642701394,76,55.7435,-97.8558,-18.24,6.91
nipawin,23,CA,1642701819,81,53.3668,-104.0009,-0.51,10.98
eyrarbakki,100,IS,1642701819,96,63.863,-21.1481,47.44,13.76
mbuji-mayi,58,CD,1642701820,88,-6.15,23.6,72.01,0.92
koungou,0,YT,1642701820,88,-12.7336,45.2042,76.71,5.75
miracatu,22,BR,1642701782,40,-24.2814,-47.4597,95.94,3.24
rawson,75,AR,1642701547,100,-43.3002,-65.1023,64.69,18.41
hinton,100,CA,1642701614,88,53.4001,-117.5857,33.1,7.52
kahului,17,US,1642701452,85,20.8947,-156.47,72.84,4.34
karratha,16,AU,1642701820,67,-20.7377,116.8463,84.69,14.36
reitz,15,ZA,1642701734,55,-27.8014,28.4273,66.04,9.24
svetlogorsk,100,BY,1642701821,89,52.6333,29.7333,30.0,11.54
tessalit,0,ML,1642701465,13,20.1986,1.0114,67.64,8.57
progreso,4,MX,1642701821,59,21.2833,-89.6667,86.11,9.89
acapulco,12,MX,1642701510,58,16.8634,-99.8901,83.28,5.93
tecoanapa,0,MX,1642701822,66,16.5167,-98.75,81.75,7.65
torbay,100,CA,1642701292,93,47.6666,-52.7314,44.76,23.02
santa vitoria do palmar,34,BR,1642701822,68,-33.5189,-53.3681,84.87,12.95
